,country,unemp_rate,gdp,total_pop
0,Austria,6.0,356237.6,8401940
1,Belgium,7.8,424660.3,11000638
2,Bulgaria,7.6,48128.6,7364570
13,Croatia,13.1,46639.5,4284889
4,Cyprus,13.0,18490.2,840407
5,Czechia,4.0,176370.1,10436560
7,Denmark,6.2,282089.9,5560628
8,Estonia,6.8,21682.6,1294455
11,Finland,8.8,216073.0,5375276
12,France,10.1,2228568.0,64933400
6,Germany,4.1,3159750.0,80219695
9,Greece,23.6,176487.9,10816286
14,Hungary,5.1,113903.8,9937628
16,Iceland,3.0,18646.1,315556
15,Ireland,8.4,273238.2,4574888
17,Italy,11.7,1689824.0,59433744
20,Latvia,9.6,25037.7,2070371
18,Lithuania,7.9,38849.4,3043429
19,Luxembourg,6.3,53303.0,512353
21,Malta,4.7,10344.1,417432
22,Netherlands,6.0,708337.0,16655799
23,Norway,4.7,335747.5,4979954
24,Poland,6.2,426547.5,38044565
25,Portugal,11.2,186480.5,10562178
26,Romania,5.9,170393.6,20121641
29,Slovakia,9.7,81226.1,5397036
28,Slovenia,8.0,40357.2,2050189
10,Spain,19.6,1118743.0,46815910
27,Sweden,7.0,463147.5,9482855
3,Switzerland,5.0,605753.7,7954662
30,Turkey,10.9,780224.9,7954662
31,United Kingdom,4.8,2403382.6,63182180
