,country,unemp_rate,gdp,median_income,total_pop
0,Austria,6.0,356237.6,23071,8401940
1,Belgium,7.8,424660.3,21335,11000638
2,Bulgaria,7.6,48128.6,6742,7364570
3,Croatia,13.1,46639.5,8985,4284889
4,Cyprus,13.0,18490.2,16173,840407
5,Czechia,4.0,176370.1,12478,10436560
6,Denmark,6.2,282089.9,21355,5560628
7,Estonia,6.8,21682.6,11867,1294455
8,Finland,8.8,216073.0,19997,5375276
9,France,10.1,2228568.0,20621,64933400
10,Germany,4.1,3159750.0,21152,80219695
11,Greece,23.6,176487.9,9048,10816286
12,Hungary,5.1,113903.8,8267,9937628
13,Iceland,3.0,18646.1,22193,315556
14,Ireland,8.4,273238.2,18286,4574888
15,Italy,11.7,1689824.0,16237,59433744
16,Latvia,9.6,25037.7,9257,2070371
17,Lithuania,7.9,38849.4,9364,3043429
18,Luxembourg,6.3,53303.0,28663,512353
19,Malta,4.7,10344.1,17264,417432
20,Netherlands,6.0,708337.0,21189,16655799
21,Norway,4.7,335747.5,27670,4979954
22,Poland,6.2,426547.5,10865,38044565
23,Portugal,11.2,186480.5,10805,10562178
24,Romania,5.9,170393.6,4724,20121641
25,Slovakia,9.7,81226.1,10466,5397036
26,Slovenia,8.0,40357.2,15250,2050189
27,Spain,19.6,1118743.0,15347,46815910
28,Sweden,7.0,463147.5,20955,9482855
29,Switzerland,5.0,605753.7,27692,7954662
30,Turkey,10.9,780224.9,6501,7954662
31,United Kingdom,4.8,2403382.6,17296,63182180
