route	type	cost.per.pax	ridership	pax.per.trip
1	Key	0.63	13306	416
4	Commuter	4.38	459	21
5	Community	2.99	156	5
7	Local	1.52	3893	177
8	Local	2.02	3844	85
9	Local	1.21	5980	187
10	Local	1.75	3184	398
11	Local	1.84	3312	237
14	Local	2.66	1285	22
15	Key	1.11	6227	111
16	Local	0.99	5100	2550
17	Local	0.71	3461	115
18	Local	2.71	630	16
19	Local	1.07	3591	211
21	Local	0.57	4696	90
22	Key	1.05	8151	170
23	Key	1	11687	899
24	Local	1.3	1725	21
26	Local	0.8	1960	41
27	Local	1.13	929	22
28	Key	0.8	13550	387
29	Local	1.71	2242	90
30	Local	1.17	2230	60
31	Local	1.07	4506	90
32	Key	1.02	10130	103
33	Local	1.67	1206	33
34	Local	2.43	5959	60
35	Local	1.75	2368	103
36	Local	1.47	3245	54
37	Local	2.1	1481	53
38	Local	2.29	1074	21
39	Key	0.72	15018	406
40	Local	1.54	1360	22
41	Local	1.84	2336	10
42	Local	0.8	2995	73
43	Local	1.93	1885	209
44	Local	1.28	3440	63
45	Local	1.53	3326	47
47	Local	1.41	4539	60
50	Local	1.74	1226	19
51	Local	1.95	1956	29
52	Local	4.97	747	22
55	Local	2.34	956	7
57	Key	0.86	12081	263
59	Local	2.71	1363	17
60	Local	2.99	1418	709
62	Local	2.53	1609	34
64	Local	2.33	1826	37
65	Local	1.43	2250	30
66	Key	0.79	13630	147
67	Local	2.98	666	4
68	Local	2.23	491	8
69	Local	0.82	3131	10
70	Local	1.96	7021	195
71	Key	1.35	5488	157
72	Local	3.05	808	31
73	Key	1.75	5834	46
74	Local	2.34	1144	29
75	Local	1.88	556	4
76	Local	3.67	1156	17
77	Key	1.95	7253	165
78	Local	3.6	1550	20
79	Local	3.05	1054	12
80	Local	2.35	1932	23
83	Local	1.49	2257	9
84	Commuter	2	356	9
85	Local	1.82	599	33
86	Local	1.07	5844	76
87	Local	1.17	3612	82
88	Local	0.89	3883	75
89	Local	1.01	3801	29
90	Local	1.75	1225	7
91	Local	1.01	1840	22
92	Local	2.68	1251	13
93	Local	1.03	4632	39
94	Local	2.02	1429	33
95	Local	2.2	1737	25
96	Local	2.09	1850	19
97	Local	2.12	841	4
99	Local	2.45	1452	12
100	Local	2.31	953	5
101	Local	1.04	4878	49
104	Local	0.9	4008	43
105	Local	1.91	983	11
106	Local	1.52	2682	47
108	Local	1.17	3166	15
109	Local	1.04	3697	127
110	Local	1.51	2885	40
111	Key	1.06	11695	38
112	Local	2.98	1367	13
114	Local	0.83	483	1
116	Key	0.88	5077	26
117	Key	0.73	4584	38
119	Local	2.16	1101	10
120	Local	1.18	3071	20
121	Commuter	1.1	443	1
131	Local	3.12	633	5
132	Local	2.49	796	3
134	Local	2.21	2186	18
136	Local	3.18	1076	16
137	Local	2.91	1028	11
170	Commuter	5.56	87	22
171	Commuter	3.23	38	0
210	Local	3.06	807	6
211	Local	2.72	890	3
212	Local	2.62	268	3
214	Local	1.35	1371	6
215	Local	2.3	1668	8
216	Local	2.65	1204	13
217	Local	7.19	223	8
220	Local	3.92	1512	6
221	Local	3.55	105	1
222	Local	2.99	1605	7
225	Local	1.86	2859	15
230	Local	3.3	1532	12
236	Local	3.56	597	2
238	Local	2.15	1894	7
240	Local	2.68	2840	13
245	Local	4.2	551	28
325	Express	7.17	289	8
326	Express	3.87	471	8
350	Local	3.36	1849	21
351	Commuter	6.33	246	11
352	Express	3.14	382	11
354	Express	5.16	764	40
411	Local	1.91	1181	39
424	Commuter	2.35	225	3
426	Local	2.14	2006	334
428	Commuter	3.5	171	7
429	Local	3.11	1559	16
430	Local	2.37	1228	26
431	Local	1.74	141	2
434	Express	2.17	75	1
435	Local	4.22	767	11
436	Local	4.44	790	790
439	Commuter	9.76	88	5
441	Local	1.86	1442	8
442	Local	1.8	2112	45
448	Commuter	4.47	162	9
449	Commuter	4.71	181	7
450	Local	2.6	1549	20
451	Local	6.34	323	25
455	Local	1.47	1797	20
456	Local	3.38	259	3
459	Local	2.75	1085	16
465	Local	4.9	348	87
468	Local	5.89	30	3
501	Express	2.68	1639	18
502	Express	1.34	1180	16
503	Express	3.45	347	9
504	Express	3.23	1452	19
505	Express	3.95	1042	15
553	Local	3.23	789	34
554	Local	4.95	618	14
556	Commuter	3.66	490	4
558	Commuter	4.11	407	7
714	Local	2.55	228	4
716	Local	4.19	106	1
201.202	Local	2.26	1582	22
712.713	Local	2.72	1597	27
CT1	Local	0.94	2261	33
CT2	Local	1.8	2580	31
CT3	Local	5.11	708	17
